Highland ,CA,"51,096"
Lake Elsinore ,CA,"50,952"
Palm Desert ,CA,"50,876"
Colton ,CA,"50,517"
Watsonville ,CA,"50,442"
Hanford ,CA,"50,103"
Gilroy ,CA,"49,934"
La Mirada ,CA,"49,809"
Yucaipa ,CA,"49,750"
Placentia ,CA,"49,692"
Rancho Santa Margarita ,CA,"49,591"
Brentwood ,CA,"49,480"
Glendora ,CA,"49,410"
San Ramon ,CA,"49,161"
Poway ,CA,"48,858"
Palm Springs ,CA,"47,952"
West Sacramento ,CA,"47,511"
Cypress ,CA,"47,123"
Covina ,CA,"46,944"
Azusa ,CA,"46,847"
Bell Gardens ,CA,"44,692"
Dublin ,CA,"44,297"
La Quinta ,CA,"43,865"
San Luis Obispo ,CA,"43,636"
Lincoln ,CA,"43,602"
Ceres ,CA,"42,690"
Newark ,CA,"41,781"
Aliso Viejo ,CA,"41,572"
Danville,CA,"41,182"
Rancho Palos Verdes ,CA,"41,106"
Lompoc ,CA,"41,099"
La Puente ,CA,"40,642"
Rohnert Park ,CA,"40,496"
San Gabriel ,CA,"40,445"
San Bruno ,CA,"40,315"
El Centro ,CA,"40,083"
Coachella ,CA,"39,391"
Campbell ,CA,"38,617"
Culver City ,CA,"38,580"
Calexico ,CA,"38,344"
Temple City ,CA,"38,341"
Brea ,CA,"38,314"
Morgan Hill ,CA,"38,096"
San Jacinto ,CA,"37,842"
Pacifica ,CA,"37,739"
Monrovia ,CA,"37,651"
Stanton ,CA,"37,589"
Bell ,CA,"36,657"
Manhattan Beach ,CA,"36,605"
Montclair ,CA,"36,530"
Moorpark ,CA,"36,372"
West Hollywood ,CA,"36,005"
Dana Point ,CA,"35,700"
Claremont ,CA,"35,470"
Martinez ,CA,"35,145"
San Dimas ,CA,"35,043"
Los Banos ,CA,"34,968"
Hollister ,CA,"34,877"
San Juan Capistrano ,CA,"34,793"
Beverly Hills ,CA,"34,445"
Seaside ,CA,"33,797"
La Verne ,CA,"33,623"
East Palo Alto ,CA,"33,575"
Twentynine Palms ,CA,"33,480"
Pleasant Hill ,CA,"32,862"
Beaumont ,CA,"32,663"
Oakley ,CA,"32,035"
Laguna Hills ,CA,"31,838"
Lawndale ,CA,"31,346"
Walnut ,CA,"30,744"
San Pablo ,CA,"30,729"
Saratoga ,CA,"30,445"
Menlo Park ,CA,"30,087"
Goleta ,CA,"29,404"
Los Gatos,CA,"29,320"
Foster City ,CA,"29,089"
Banning ,CA,"28,917"
Paso Robles,CA,"28,715"
Santa Paula ,CA,"28,618"
Adelanto ,CA,"28,553"
Atascadero ,CA,"28,452"
Los Altos ,CA,"28,349"
Maywood ,CA,"28,224"
Soledad ,CA,"28,124"
Monterey ,CA,"27,763"
Burlingame ,CA,"27,706"
San Carlos ,CA,"27,238"
Suisun City ,CA,"26,977"
Norco ,CA,"26,659"
Atwater ,CA,"26,565"
Imperial Beach ,CA,"26,543"
Paradise,CA,"26,469"
Benicia ,CA,"26,174"
Ridgecrest ,CA,"25,638"
Sanger ,CA,"25,447"
Windsor,CA,"25,362"
Eureka ,CA,"25,300"
Corcoran ,CA,"25,139"
Lafayette ,CA,"25,011"
